#      date    lon    lat    value 
 2019-09-01     15   37.4  299.448 
 2019-09-02     15   37.4    297.8 
 2019-09-03     15   37.4   297.46 
 2019-09-04     15   37.4  295.548 
 2019-09-05     15   37.4  296.304 
 2019-09-06     15   37.4  297.295 
 2019-09-07     15   37.4  297.619 
 2019-09-08     15   37.4  297.001 
 2019-09-09     15   37.4  297.434 
 2019-09-10     15   37.4  295.837 
 2019-09-11     15   37.4  295.561 
 2019-09-12     15   37.4  297.667 
 2019-09-13     15   37.4  298.107 
 2019-09-14     15   37.4  297.703 
 2019-09-15     15   37.4  296.733 
 2019-09-16     15   37.4  297.662 
 2019-09-17     15   37.4  297.526 
 2019-09-18     15   37.4  297.685 
 2019-09-19     15   37.4  298.557 
 2019-09-20     15   37.4  295.744 
 2019-09-21     15   37.4  295.477 
 2019-09-22     15   37.4  296.222 
 2019-09-23     15   37.4  298.464 
 2019-09-24     15   37.4  297.177 
 2019-09-25     15   37.4   296.79 
 2019-09-26     15   37.4  297.603 
 2019-09-27     15   37.4  296.393 
 2019-09-28     15   37.4  297.442 
 2019-09-29     15   37.4  297.316 
 2019-09-30     15   37.4  296.825 
 2019-10-01     15   37.4  297.053 
 2019-10-02     15   37.4  295.972 
 2019-10-03     15   37.4  295.603 
 2019-10-04     15   37.4  293.274 
 2019-10-05     15   37.4  293.859 
 2019-10-06     15   37.4  294.516 
 2019-10-07     15   37.4  291.921 
 2019-10-08     15   37.4  292.732 
 2019-10-09     15   37.4  293.404 
 2019-10-10     15   37.4  294.636 
 2019-10-11     15   37.4  294.634 
 2019-10-12     15   37.4  294.201 
 2019-10-13     15   37.4  294.482 
 2019-10-14     15   37.4  293.765 
 2019-10-15     15   37.4  293.772 
 2019-10-16     15   37.4  294.692 
 2019-10-17     15   37.4  292.739 
 2019-10-18     15   37.4  292.623 
 2019-10-19     15   37.4  293.531 
 2019-10-20     15   37.4  293.948 
 2019-10-21     15   37.4  293.722 
 2019-10-22     15   37.4  292.295 
 2019-10-23     15   37.4  292.182 
 2019-10-24     15   37.4  291.617 
 2019-10-25     15   37.4  291.578 
 2019-10-26     15   37.4  291.785 
 2019-10-27     15   37.4  292.282 
 2019-10-28     15   37.4  292.181 
 2019-10-29     15   37.4  292.426 
 2019-10-30     15   37.4  292.203 
 2019-10-31     15   37.4  291.389 
 2019-11-01     15   37.4  291.133 
 2019-11-02     15   37.4   291.07 
 2019-11-03     15   37.4  291.717 
 2019-11-04     15   37.4  291.562 
 2019-11-05     15   37.4   291.17 
 2019-11-06     15   37.4  291.198 
 2019-11-07     15   37.4  289.298 
 2019-11-08     15   37.4  288.603 
 2019-11-09     15   37.4  288.068 
 2019-11-10     15   37.4    287.7 
 2019-11-11     15   37.4  289.241 
 2019-11-12     15   37.4  287.709 
 2019-11-13     15   37.4  288.373 
 2019-11-14     15   37.4  286.754 
 2019-11-15     15   37.4  289.199 
 2019-11-16     15   37.4  290.344 
 2019-11-17     15   37.4  288.611 
 2019-11-18     15   37.4  286.615 
 2019-11-19     15   37.4   286.71 
 2019-11-20     15   37.4  285.296 
 2019-11-21     15   37.4  284.785 
 2019-11-22     15   37.4  286.059 
 2019-11-23     15   37.4  287.819 
